gene,default_auc,default_f1,default_recall,default_fpr,default_spec,optimal_c,optimal_auc,optimal_f1,optimal_recall,optimal_fpr,optimal_spec,n_tot,n_benign,n_malign
CHAT,0.9200542005420054,0.8421052631578948,0.8888888888888888,0.11111111111111116,0.8888888888888888,0.021,0.9322493224932248,0.8888888888888888,0.8888888888888888,0.11111111111111116,0.8888888888888888,50,41,9
LIPH,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,7,3,4
GCM2,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,12,7,5
MPO,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,30,20,10
CAPN5,0.9256756756756757,0.15384615384615385,1.0,0.0,1.0,0.022000000000000002,0.9459459459459459,0.19999999999999998,1.0,0.0,1.0,75,74,1
RAPSN,0.9166666666666667,0.8387096774193548,1.0,0.0,1.0,0.02,0.9166666666666667,0.8387096774193548,1.0,0.0,1.0,43,30,13
CYBA,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,19,16,3
VARS2,0.8237179487179486,0.7272727272727272,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.022000000000000002,0.8333333333333333,0.8,0.6666666666666666,0.33333333333333337,0.6666666666666666,58,52,6
RBM8A,0.6944444444444444,0.4,0.5,0.5,0.5,0.02,0.6944444444444444,0.4,0.5,0.5,0.5,20,18,2
ZDHHC9,0.935483870967742,0.7142857142857143,1.0,0.0,1.0,0.023000000000000003,0.9516129032258064,0.7692307692307693,1.0,0.0,1.0,36,31,5
VCP,0.9442786069651741,0.8,0.9333333333333333,0.06666666666666665,0.9333333333333333,0.018,0.9776119402985074,0.8333333333333333,0.9333333333333333,0.06666666666666665,0.9333333333333333,149,134,15
BMP1,0.983050847457627,0.5,1.0,0.0,1.0,0.02,0.983050847457627,0.5,1.0,0.0,1.0,60,59,1
PDGFRB,0.9701257861635221,0.3870967741935484,1.0,0.0,1.0,0.024000000000000004,0.9779874213836478,0.4615384615384615,1.0,0.0,1.0,324,318,6
VCL,0.8782467532467533,0.27272727272727276,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.023000000000000003,0.8814935064935066,0.2857142857142857,0.8571428571428571,0.1428571428571429,0.8571428571428571,315,308,7
ATP2A2,0.891304347826087,0.7058823529411764,1.0,0.0,1.0,0.021,0.8985507246376812,0.72,1.0,0.0,1.0,87,69,18
SLC52A3,0.9818181818181818,0.9,1.0,0.0,1.0,0.02,0.9818181818181818,0.9,1.0,0.0,1.0,64,55,9
